"test_id","exam_version","generation_batch_id","target_score_band","question_id","section","module","route","question_number","content_domain","skill_group","skill_code","skill_label","question_topic","difficulty","scoring_weight","question_type","passage","question","choice_a","choice_b","choice_c","choice_d","correct_answer","correct_choice_index","explanation","time_estimate_sec","visual_type","visual_json","table_markdown","equation_latex","student_response_type","correct_numeric_answer","answer_tolerance","primary_skill","secondary_skill","tags"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q01","RW","1","base","1","Craft and Structure","Words in Context","RW_WIC","Words in Context","","","1","multiple_choice","As Mexico’s first president from an Indigenous community, Benito Juarez became one of the most ______ figures in his country’s history: among the many significant accomplishments of his long tenure in office (1858–1872), Juarez consolidated the authority of the national government and advanced the rights of Indigenous peoples.","Which choice completes the text with the most logical and precise word or phrase?","unpredictable","important","secretive","ordinary","B","2","Choice B is the best answer because it most logically completes the text’s discussion of Juarez. In this context, “important” means marked by significant work or consequence. The text indicates that Juarez, who was the first president of Mexico from an Indigenous community, became a certain kind of figure in Mexico’s history. It then supports that claim by describing some of the “many significant accomplishments” from Juarez’s long tenure in office. This context conveys that Juarez is a significant and consequential figure in Mexico’s history. Choice A is incorrect because the text focuses on Juarez’s role as the first president of Mexico from an Indigenous community and on his many major accomplishments during his lengthy time in office; nothing in the text suggests that Juarez was “unpredictable,” or tended to behave in ways that couldn’t be predicted. Choice C is incorrect because nothing in the text suggests that Juarez was a particularly “secretive” figure, or that he tended to keep things private or hidden from others. Instead, the text focuses on things that are known about Juarez: that he was the first president of Mexico from an Indigenous community, that he had a lengthy tenure, and that his many major accomplishments included consolidating the national government’s authority and advancing Indigenous rights. Choice D is incorrect because the text focuses on the idea that Juarez, who was the first president of Mexico from an Indigenous community, had many major accomplishments during his lengthy time in office. Rather than suggesting that Juarez was an “ordinary,” or common and typical, figure in Mexico’s history, this context conveys that Juarez was instead a notable figure. 3","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:4;source_question:1"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q02","RW","1","base","2","Craft and Structure","Words in Context","RW_WIC","Words in Context","","","1","multiple_choice","Due to their often strange images, highly experimental syntax, and opaque subject matter, many of John Ashbery’s poems can be quite difficult to ______ and thus are the object of heated debate among scholars.","Which choice completes the text with the most logical and precise word or phrase?","delegate","compose","interpret","renounce","C","3","Choice C is the best answer because it most logically completes the text’s discussion of John Ashbery’s poems. As used in this context, “interpret” would mean decipher the meaning of. The text indicates that Ashbery’s poems have many unusual features, that it’s difficult to tell what exactly the poems’ subject matter is, and that scholars strongly disagree about the poems. This context conveys the idea that it’s difficult to interpret Ashbery’s poems. Choice A is incorrect because “delegate” means to assign someone as a representative of another person or to entrust something to someone else, neither of which would make sense in context. The text is focused only on the difficulty that readers have interpreting Ashbery’s poems due to their many unusual features; it doesn’t suggest anything about the poems being difficult to delegate. Choice B is incorrect because describing Ashbery’s poems as difficult to “compose,” or put together or produce, would make sense only if the text were about Ashbery’s experience of writing the poems. It could be true that it was difficult for Ashbery to compose his poems, but the text doesn’t address this; it instead discusses how readers interpret and engage with the poems. Choice D is incorrect because describing Ashbery’s poems as being difficult to “renounce,” or give up or refuse, wouldn’t make sense in context. The text focuses on the idea that features of Ashbery’s poems are odd or unclear and have caused heated scholarly debate. This context suggests that the poems are difficult to interpret, not that the poems are difficult to renounce.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:4;source_question:2"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q03","RW","1","base","3","Craft and Structure","Words in Context","RW_WIC","Words in Context","","","1","multiple_choice","During a 2014 archaeological dig in Spain, Vicente Lull and his team uncovered the skeleton of a woman from El Algar, an Early Bronze Age society, buried with valuable objects signaling a high position of power. This finding may persuade researchers who have argued that Bronze Age societies were ruled by men to ______ that women may have also held leadership roles.","Which choice completes the text with the most logical and precise word or phrase?","waive","concede","refute","require","B","2","Choice B is the best answer because it most logically completes the text’s discussion of the significance of the 2014 archaeological finding at El Algar. In this context, “concede” means to admit something is true after first resisting that admission. The text indicates that some researchers believe “Bronze Age societies were ruled by men.” But the Bronze Age burial of a woman at El Algar included “valuable objects signaling a high position of power,” which would raise the possibility that “women may have also held leadership roles.” Thus, the text is calling into question the notion that only men were leaders in these societies and speculating that people holding this view may reconsider their opinion. Choice A is incorrect because “waive” means to refrain from insisting that something, such as a right or a requirement, be observed; the word isn’t used, however, in contexts where someone acknowledges that an opinion they hold may be invalid, as is the case in the text. Choice C is incorrect. According to the text, the finding from the El Algar burial site undermines the view that Bronze Age societies were exclusively ruled by men. However, “refute” means to demonstrate that something is false and would not make sense in context. Lull and team’s finding supports the view that women may have also held leadership roles, not that they did not participate in such roles. Choice D is incorrect because in this context, “require” means to demand or specify as mandatory. However, it would not make sense for contemporary researchers to demand that Bronze Age “women may have also held leadership roles.”","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:5;source_question:4"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q04","RW","1","base","4","Craft and Structure","Words in Context","RW_WIC","Words in Context","","","1","multiple_choice","Within baleen whale species, some individuals develop an accessory spleen—a seemingly functionless formation of splenetic tissue outside the normal spleen. Given the formation’s greater prevalence among whales known to make deeper dives, some researchers hypothesize that its role isn’t ______; rather, the accessory spleen may actively support diving mechanisms.","Which choice completes the text with the most logical and precise word or phrase?","replicable","predetermined","operative","latent","D","4","Choice D is the best answer because it most logically completes the text’s discussion of baleen whale accessory spleens. In this context, “latent” means dormant or functionless. The text sets up a contrast between the idea that baleen whale accessory spleens appear not to have a function and the research indicating that the accessory spleen may actually have a role in supporting the whales’ diving mechanisms. This context therefore conveys the idea that the assumption that baleen whale accessory spleens are latent may be incorrect. Choice A is incorrect because it wouldn’t make sense to say that the role of the accessory spleen is “replicable,” or capable of being reproduced. The text indicates that the role of the accessory spleen seems to have no function, but some researchers think it does have a role; the text doesn’t address whether the role of the accessory spleen could or couldn’t be reproduced. Choice B is incorrect because suggesting that the role of the accessory spleen is “predetermined,” or decided in advance, wouldn’t make sense in context. Although the researchers may agree that the role of the accessory spleen or any other organ hasn’t been determined in advance, the text focuses on the idea that the accessory spleen was thought to have been functionless but may in fact serve an active role for baleen whales. Choice C is incorrect because it’s the opposite of what the context of the text is conveying. The second sentence of the text indicates that baleen whale accessory spleens may not be useless, not that they aren’t “operative,” or functional. 5","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:5;source_question:5"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q05","RW","1","base","5","Craft and Structure","Words in Context","RW_WIC","Words in Context","","","1","multiple_choice","According to a US tax policy expert, state taxes are ______ other factors when considering an interstate move. Even significant differences in state taxation have almost no effect on most people’s decisions, while differences in employment opportunities, housing availability, and climate are strong influences.","Which choice completes the text with the most logical and precise word or phrase?","consistent with","representative of","overshadowed by","irrelevant to","C","3","Choice C is the best answer because it most logically completes the text’s discussion of the factors that influence peoples’ decisions to move to a different state. As used in this context, “overshadowed by” means to be surpassed by or caused to seem less important than other factors affecting a move. The text indicates that, according to a US tax policy expert, when people think about an interstate move, state taxes have little effect on their decisions, while employment opportunities, housing availability, and climate have a very strong effect. This context suggests that people consider these other factors to be more important than state taxes. Choice A is incorrect because the text indicates that state taxes aren’t as important a consideration as other factors when people are thinking of moving to another state. The context doesn’t suggest that state taxes are “consistent with,” or in agreement with these other factors. Choice B is incorrect because it wouldn’t make sense in context to say that state taxes are “representative of,” or typical of, other factors. Taxes aren’t an example of employment opportunities, housing availability, and climate, which are the other factors listed in the text. Choice D is incorrect because it wouldn’t make sense in context to say that state taxes are “irrelevant to,” or unconnected or unimportant to other factors. State taxes are irrelevant to peoples’ decisions, not to other factors. In other words, although the text suggests that state taxes may be irrelevant to people considering a move to another state, the other factors mentioned in the text, such as employment opportunities, are unable to have an opinion about state taxes. Furthermore, the text indicates that significant differences in state taxes have almost no effect on peoples’ choices to move, but they aren’t completely unimportant.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:5;source_question:6"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q06","RW","1","base","6","Craft and Structure","Text Structure and Purpose","RW_TSP","Text Structure and Purpose","","","1","multiple_choice","The following text is from Georgia Douglas Johnson’s 1922 poem “Benediction.”

Go forth, my son,
Winged by my heart’s desire!
Great reaches, yet unknown,
Await
For your possession.
I may not, if I would,
Retrace the way with you,
My pilgrimage is through,
But life is calling you!","Which choice best states the main purpose of the text?","To express hope that a child will have the same accomplishments as his parent did","To suggest that raising a child involves many struggles","To warn a child that he will face many challenges throughout his life","To encourage a child to embrace the experiences life will offer","D","4","Choice D is the best answer because it accurately states the text’s main purpose. The poem begins with the speaker urging a child to “go forth” with her encouragement (“my heart’s desire”). The speaker goes on to suggest that new experiences (“Great reaches, yet unknown”) lie ahead for the son that “life is calling” him to seek out. Thus, the main purpose is to encourage a child to embrace the experiences available to him in his life. Choice A is incorrect because the speaker encourages the child to pursue new experiences (“Great reaches”) without knowing exactly what those experiences will be (“yet unknown”) or suggesting that they should match the speaker’s own accomplishments. Choice B is incorrect because the speaker focuses on positive possibilities for her son (“Great reaches, yet unknown”) and her enthusiastic encouragement to embrace those possibilities (“life is calling you!”), while there is no mention of raising a child or associated struggles. Choice C is incorrect because the speaker frames the possibilities for her son in a positive light when she says that “great reaches, yet unknown” are waiting for him, and this positive outlook for the son is consistent throughout the text.","","none","{}","","","","","","Text Structure and Purpose","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:6;source_question:8"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q07","RW","1","base","7","Craft and Structure","Text Structure and Purpose","RW_TSP","Text Structure and Purpose","","","1","multiple_choice","The following text is adapted from Indian Boyhood, a 1902 memoir by Ohiyesa (Charles A. Eastman), a Santee Dakota writer. In the text, Ohiyesa recalls how the women in his tribe harvested maple syrup during his childhood.

Now the women began to test the trees—moving leisurely among them, axe in hand, and striking a single quick blow, to see if the sap would appear. __The trees, like people, have their individual characters; some were ready to yield up their life-blood, while others were more reluctant.__ Now one of the birchen basins was set under each tree, and a hardwood chip driven deep into the cut which the axe had made. From the corners of this chip—at first drop by drop, then more freely—the sap trickled into the little dishes.","Which choice best describes the function of the underlined sentence in the text as a whole?","It portrays the range of personality traits displayed by the women as they work.","It foregrounds the beneficial relationship between humans and maple trees.","It demonstrates how human behavior can be influenced by the natural environment.","It elaborates on an aspect of the maple trees that the women evaluate.","D","4","Choice D is the best answer because it best describes the function of the underlined sentence in the text’s overall portrayal of how the women in Ohiyesa’s tribe harvested maple syrup. The text states that the women used an axe to strike the maple trees in order to find out which ones would produce sap. The underlined sentence compares the trees to people, with the sap described as the trees’ “life-blood.” Some of the trees are ready to give out their sap, while others are unwilling to do so. Using personification, the sentence provides greater detail about the aspect of the maple trees—their potential to give sap—that the women are evaluating. Choice A is incorrect because the personalities of the women are not discussed in the text. Although the underlined sentence does mention “individual characters,” this reference is not to the women in the text but rather to the maple trees, which the sentence compares to people with individual character traits. Choice B is incorrect because the underlined sentence focuses on the trees’ willingness or refusal to yield sap, not on the beneficial relationship between the women and the trees. Additionally, although the text does suggest that the women and their tribe benefit from the maple trees since the trees allow the women to harvest syrup, there is nothing in the text to suggest that the trees benefit from this relationship in turn. Choice C is incorrect because the underlined sentence is comparing maple trees to humans, not addressing the influence of the natural environment on how the actual humans in the text, the women, behave. 7","","none","{}","","","","","","Text Structure and Purpose","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:6;source_question:9"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q08","RW","1","base","8","Craft and Structure","Cross-Text Connections","RW_CTC","Cross-Text Connections","","","1","multiple_choice","Text 1:
Ecologists have long wondered how thousands of microscopic phytoplankton species can live together near ocean surfaces competing for the same resources. According to conventional wisdom, one species should emerge after outcompeting the rest. So why do so many species remain? Ecologists’ many efforts to explain this phenomenon still haven’t uncovered a satisfactory explanation.

Text 2:
Ecologist Michael Behrenfeld and colleagues have connected phytoplankton’s diversity to their microscopic size. Because these organisms are so tiny, they are spaced relatively far apart from each other in ocean water and, moreover, experience that water as a relatively dense substance. This in turn makes it hard for them to move around and interact with one another. Therefore, says Behrenfeld’s team, direct competition among phytoplankton probably happens much less than previously thought.","Based on the texts, how would Behrenfeld and colleagues (Text 2) most likely respond to the “conventional wisdom” discussed in Text 1?","By arguing that it is based on a misconception about phytoplankton species competing with one another","By asserting that it fails to recognize that routine replenishment of ocean nutrients prevents competition between phytoplankton species","By suggesting that their own findings help clarify how phytoplankton species are able to compete with larger organisms","By recommending that more ecologists focus their research on how competition among phytoplankton species is increased with water density","A","1","Choice A is the best answer because based on Text 2, it represents how Behrenfeld and colleagues would most likely respond to the “conventional wisdom” discussed in Text 1. The conventional wisdom cited holds the opinion that when there is species diversity within a phytoplankton population, “one species should emerge after outcompeting the rest”—that is, after being so successful in competing for resources that the other species vanish from the population. However, Text 2 explains that according to Behrenfeld and colleagues, phytoplankton are so small and spaced so far apart in the water that there is “much less” direct competition for resources within phytoplankton populations than scientists had previously thought. Choice B is incorrect because Text 2 never discusses whether routine replenishment of ocean nutrients affects competition between phytoplankton species. Choice C is incorrect because the interspecies competition discussed in both texts is specifically between phytoplankton species, and neither text considers whether phytoplankton compete for resources with larger nonphytoplankton species. Choice D is incorrect because according to Text 2, Behrenfeld and colleagues argue that water density decreases, not increases, competition between phytoplankton species.","","none","{}","","","","","","Cross-Text Connections","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:7;source_question:10"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q09","RW","1","base","9","Information and Ideas","Central Ideas and Details","RW_CID","Central Ideas and Details","","","1","multiple_choice","In 2014, Amelia Quon and her team at NASA set out to build a helicopter capable of flying on Mars. Because Mars’s atmosphere is only one percent as dense as Earth’s, the air of Mars would not provide enough resistance to the rotating blades of a standard helicopter for the aircraft to stay aloft. For five years, Quon’s team tested designs in a lab that mimicked Mars’s atmospheric conditions. The craft the team ultimately designed can fly on Mars because its blades are longer and rotate faster than those of a helicopter of the same size built for Earth.","According to the text, why would a helicopter built for Earth be unable to fly on Mars?","Because Mars and Earth have different atmospheric conditions","Because the blades of helicopters built for Earth are too large to work on Mars","Because the gravity of Mars is much weaker than the gravity of Earth","Because helicopters built for Earth are too small to handle the conditions on Mars","A","1","Choice A is the best answer because it presents an explanation about a helicopter that is directly supported by the text. The text states that Mars’s atmosphere is much less dense than Earth’s, and as a result, the air on Mars doesn’t provide the resistance required to support the blades of a helicopter built for Earth and to keep the helicopter aloft. In other words, a helicopter built for Earth can’t fly on Mars because of the differences in the two planets’ atmospheres. Choice B is incorrect because instead of stating that the blades of helicopters built for Earth are too large to work on Mars, the text indicates that the helicopter built to fly on Mars actually has even longer blades than a helicopter built for Earth. Choice C is incorrect because the text never addresses the role of gravity on Mars or on Earth; instead, it focuses on atmospheric conditions. Choice D is incorrect because the text doesn’t indicate that helicopters built for Earth are too small to operate in the conditions on Mars. In fact, the text states that the size of the helicopter built to fly on Mars is the same size as a helicopter built for Earth, even though it has longer blades that rotate faster. 8","","none","{}","","","","","","Central Ideas and Details","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:7;source_question:11"
"SAT_PRACTICE_TEST_2","digital_nondigital_pdf_import","import_batch_002","","SAT2_RW_M1_Q10","RW","1","base","10","Information and Ideas","Central Ideas and Details","RW_CID","Central Ideas and Details","","","1","multiple_choice","In West Africa, jalis have traditionally been keepers of information about family histories and records of important events. They have often served as teachers and advisers, too. New technologies may have changed some aspects of the role today, but jalis continue to be valued for knowing and protecting their peoples’ stories.","Which choice best states the main idea of the text?","Even though there have been some changes in their role, jalis continue to preserve their communities’ histories.","Although jalis have many roles, many of them like teaching best.","Jalis have been entertaining the people within their communities for centuries.","Technology can now do some of the things jalis used to be responsible for.","A","1","Choice A is the best answer because it best states the main idea of the text. According to the text, jalis’ traditional role has been to maintain information about families’ histories and significant events. The text goes on to say that although technological changes have altered jalis’ role somewhat, jalis are still valued for preserving the histories of their communities. Choice B is incorrect because the text says nothing about jalis’ views of the various tasks they perform. There is no information to support the idea that many jalis prefer teaching to other tasks. Choice C is incorrect because the text doesn’t describe jalis as being sources of entertainment. Rather, jalis are presented as valued sources of knowledge. Additionally, the text gives no indication of how long jalis have been serving their communities. Choice D is incorrect because the main focus of the text is on jalis’ role and their continued value despite the effects of technology, not on what technology can now do. Although the text indicates that jalis’ role has changed as a result of technological changes, the text doesn’t present any specific information about technology performing tasks that jalis once performed.","","none","{}","","","","","","Central Ideas and Details","","import;pdf;section:RW;source:sat-practice-test-2-digital.pdf;page:8;source_question:12"
